timestamp,machine_id,vibration_freq,inclination_angle,fan_airflow,amplitude,stone_count,total_count,stone_residual_rate,purity
2026-06-14 08:16:09.216756,CG-STONE-001,52.77862304773992,4.329891299566493,1201.053686181452,1.929099025215523,4,10000,0.04,99.37224326982482
2026-06-14 08:21:09.216756,CG-STONE-001,52.77422946856396,4.204184008650294,1363.6904221706345,1.5600868173049105,8,10000,0.08,99.1561822218284
2026-06-14 08:26:09.216756,CG-STONE-001,51.481732247901085,4.2630487213112085,1200.0,1.85142257612342,6,10000,0.06,99.3267945436373
2026-06-14 08:31:09.216756,CG-STONE-001,52.03076393678164,4.5499059500994425,1336.7880614442327,1.6558428703162358,4,10000,0.04,99.42548972780752
2026-06-14 08:36:09.216756,CG-STONE-001,52.17004695765404,3.8750638321985065,1415.7462416449978,1.8641743932094725,9,10000,0.09,99.50264576062233
2026-06-14 08:41:09.216756,CG-STONE-001,52.50336634379102,4.15925471011354,1308.2643081638792,1.5943982421058998,4,10000,0.04,99.3541253820314
2026-06-14 08:46:09.216756,CG-STONE-001,51.058684647718216,4.490056755093619,1228.573619427106,1.756292240938853,4,10000,0.04,99.37666317661217
2026-06-14 08:51:09.216756,CG-STONE-001,52.04676702740797,4.058729619603798,1368.6719463539346,1.814542066477235,3,10000,0.03,99.56531507257324
2026-06-14 08:56:09.216756,CG-STONE-001,52.48540588790016,4.259484226763393,1233.0712001650754,1.783675304841553,2,10000,0.02,99.35201995556845
2026-06-14 09:01:09.216756,CG-STONE-001,51.61742084613307,4.063062438653707,1331.042338369682,1.9230432938525108,5,10000,0.05,99.20980232761536
2026-06-14 09:06:09.216756,CG-STONE-001,51.951094850715215,3.931301432636286,1373.4805030262478,1.8443112058353983,4,10000,0.04,99.42334323488195
2026-06-14 09:11:09.216756,CG-STONE-001,52.35871891257273,4.11501175653539,1399.2600604247716,1.999501767786637,5,10000,0.05,99.36604204371301
2026-06-14 09:16:09.216756,CG-STONE-001,51.030208488903924,4.2775318283609165,1316.589931814317,1.4854729088856904,8,10000,0.08,99.19633867550961
2026-06-14 09:21:09.216756,CG-STONE-001,51.394812820001064,3.996530347843473,1374.5741598961993,1.8497366740694048,2,10000,0.02,99.397739842584
2026-06-14 09:26:09.216756,CG-STONE-001,51.36575109404406,3.8880331436673625,1440.1601369896441,1.7307700832470083,7,10000,0.06999999999999999,99.40450249784773
2026-06-14 09:31:09.216756,CG-STONE-001,51.38376355634261,4.633828142756384,1290.4230757877071,1.5967758139682604,1,10000,0.01,99.29478576587061
2026-06-14 09:36:09.216756,CG-STONE-001,52.96861816466618,4.5364435736363005,1383.0618314681394,1.6835227083175104,5,10000,0.05,99.47575528296828
2026-06-14 09:41:09.216756,CG-STONE-001,51.57466284708358,4.239462660042366,1302.3223113855956,1.8854443960800704,5,10000,0.05,99.27539870280293
2026-06-14 09:46:09.216756,CG-STONE-001,51.43990669493629,3.8769866697353987,1384.6212106298447,2.087075358162365,5,10000,0.05,99.16684652268648
2026-06-14 09:51:09.216756,CG-STONE-001,52.47525058182438,4.255501304345953,1329.888292623829,1.7940167893413714,8,10000,0.08,99.48897862500968
2026-06-14 09:56:09.216756,CG-STONE-001,53.245672392530444,4.38893351979096,1266.4090759446667,1.7761933015338396,4,10000,0.04,99.59367345478911
2026-06-14 10:01:09.216756,CG-STONE-001,53.45592991982662,4.818235307896254,1328.291960081066,1.9737144890027611,6,10000,0.06,99.22577678809981
